index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,Tempo_Abertura_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor,Tempo_Abertura_C_Consumidor
90,8,6,24.5443,2.00235,1.0783,37.5066,0.610671,1.0732,60.6629,0.1922,1.0721,48.8468,0.317725,1.0757,0,Inf,Inf,56.4836,0.226193,1.0721,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
91,8,7,38.0834,0.587185,1.0729,61.9488,0.183306,1.0717,25.189,1.85017,1.073,0,Inf,Inf,57.5659,0.216554,1.072,49.9799,0.300887,1.0719,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
92,8,8,37.8959,0.594666,1.0729,61.9423,0.183349,1.0717,25.4277,1.79816,1.073,0,Inf,Inf,57.4437,0.217611,1.072,50.1025,0.299147,1.0719,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
93,8,9,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
94,8,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
95,8,11,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
96,8,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
97,9,1,64.7663,0.165896,1.0731,66.0594,0.158744,1.0715,64.2035,0.169165,1.0717,63.9528,0.170653,1.0746,65.8147,0.160061,1.072,65.2622,0.163096,1.0714,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
98,9,2,64.7661,0.165897,1.0731,66.0592,0.158745,1.0715,64.2035,0.169165,1.0717,63.9527,0.170653,1.0746,65.8145,0.160062,1.072,65.2621,0.163096,1.0714,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
99,9,3,65.1949,0.163472,1.0731,26.8352,1.53155,1.0738,40.2328,0.510745,1.0746,60.6025,0.192634,1.0735,52.6699,0.265982,1.0731,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
100,9,4,65.2016,0.163434,1.0731,27.0779,1.49159,1.0738,40.0516,0.51659,1.0747,60.4911,0.193438,1.0735,52.8041,0.264405,1.0731,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
101,9,5,25.98654,1.684593,1.0778,39.93967,0.520248,1.0724,64.20348,0.1691649,1.0717,51.63725,0.2786108,1.0725,0,Inf,Inf,59.88698,0.1978918,1.0717,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
